NODE;ID;LABEL;CLASS;WEIGHT
pier;pier;pier;TRAVEL;3
railway station;railway station;railway station;TRAVEL;3
seasickness;seasickness;seasickness;TRAVEL;3
tourist;tourist;tourist;TRAVEL;3
train tracks;train tracks;train tracks;TRAVEL;3
travel;travel;travel;TRAVEL;3
trolley;trolley;trolley;TRAVEL;3
van;van;van;TRAVEL;3
backpack;backpack;backpack;TRAVEL;4
map;map;map;TRAVEL;4
motorcycle;motorcycle;motorcycle;TRAVEL;4
voyage;voyage;voyage;TRAVEL;4
pickup truck;pickup truck;pickup truck;TRAVEL;5
visa;visa;visa;TRAVEL;5
bicycle;bicycle;bicycle;TRAVEL;6
journey;journey;journey;TRAVEL;6
truck;truck;truck;TRAVEL;6
passport;passport;passport;TRAVEL;7
suitcase;suitcase;suitcase;TRAVEL;9
airplane;airplane;airplane;TRAVEL;10
boat;boat;boat;TRAVEL;10
bus;bus;bus;TRAVEL;12
hotel;hotel;hotel;TRAVEL;12
ship;ship;ship;TRAVEL;12
taxi;taxi;taxi;TRAVEL;13
train;train;train;TRAVEL;16
airport;airport;airport;TRAVEL;17
accidental shooting;accidental shooting;accidental shooting;VIOLENCE;2
army;army;army;VIOLENCE;2
battle;battle;battle;VIOLENCE;2
bouncer;bouncer;bouncer;VIOLENCE;2
bribery;bribery;bribery;VIOLENCE;2
broken jaw;broken jaw;broken jaw;VIOLENCE;2
brutality;brutality;brutality;VIOLENCE;2
bully;bully;bully;VIOLENCE;2
bullying;bullying;bullying;VIOLENCE;2
car bomb;car bomb;car bomb;VIOLENCE;2
child with gun;child with gun;child with gun;VIOLENCE;2
explosive;explosive;explosive;VIOLENCE;2
gambling syndicate;gambling syndicate;gambling syndicate;VIOLENCE;2
handcuffed;handcuffed;handcuffed;VIOLENCE;2
handgun;handgun;handgun;VIOLENCE;2
hate;hate;hate;VIOLENCE;2
head wound;head wound;head wound;VIOLENCE;2
hit in the crotch;hit in the crotch;hit in the crotch;VIOLENCE;2
hit on the head;hit on the head;hit on the head;VIOLENCE;2
impalement;impalement;impalement;VIOLENCE;2
intimidation;intimidation;intimidation;VIOLENCE;2
invasion;invasion;invasion;VIOLENCE;2
knife fight;knife fight;knife fight;VIOLENCE;2
knife throwing;knife throwing;knife throwing;VIOLENCE;2
murder attempt;murder attempt;murder attempt;VIOLENCE;2
murder of cousin;murder of cousin;murder of cousin;VIOLENCE;2
murder of wife;murder of wife;murder of wife;VIOLENCE;2
neck breaking;neck breaking;neck breaking;VIOLENCE;2
nude woman murdered;nude woman murdered;nude woman murdered;VIOLENCE;2
pogrom;pogrom;pogrom;VIOLENCE;2
public humiliation;public humiliation;public humiliation;VIOLENCE;2
shot in the eye;shot in the eye;shot in the eye;VIOLENCE;2
shot in the neck;shot in the neck;shot in the neck;VIOLENCE;2
shot in the throat;shot in the throat;shot in the throat;VIOLENCE;2
shot repeatedly;shot repeatedly;shot repeatedly;VIOLENCE;2
silencer;silencer;silencer;VIOLENCE;2
slaughter;slaughter;slaughter;VIOLENCE;2
smuggler;smuggler;smuggler;VIOLENCE;2
sniper;sniper;sniper;VIOLENCE;2
squatter;squatter;squatter;VIOLENCE;2
stabbed in the arm;stabbed in the arm;stabbed in the arm;VIOLENCE;2
stabbed in the face;stabbed in the face;stabbed in the face;VIOLENCE;2
stabbed in the leg;stabbed in the leg;stabbed in the leg;VIOLENCE;2
stabbed in the stomach;stabbed in the stomach;stabbed in the stomach;VIOLENCE;2
threatened with a knife;threatened with a knife;threatened with a knife;VIOLENCE;2
torture;torture;torture;VIOLENCE;2
undercover;undercover;undercover;VIOLENCE;2
uzi;uzi;uzi;VIOLENCE;2
world war two veteran;world war two veteran;world war two veteran;VIOLENCE;2
wrist slitting;wrist slitting;wrist slitting;VIOLENCE;2
actual animal killed;actual animal killed;actual animal killed;VIOLENCE;3
arson;arson;arson;VIOLENCE;3
bombing;bombing;bombing;VIOLENCE;3
boxing;boxing;boxing;VIOLENCE;3
cane;cane;cane;VIOLENCE;3
child murder;child murder;child murder;VIOLENCE;3
cruelty;cruelty;cruelty;VIOLENCE;3
domestic violence;domestic violence;domestic violence;VIOLENCE;3
garrote;garrote;garrote;VIOLENCE;3
hit in the face;hit in the face;hit in the face;VIOLENCE;3
hitman;hitman;hitman;VIOLENCE;3
machete;machete;machete;VIOLENCE;3
mob violence;mob violence;mob violence;VIOLENCE;3
mugging;mugging;mugging;VIOLENCE;3
revolver;revolver;revolver;VIOLENCE;3
severed head;severed head;severed head;VIOLENCE;3
stabbed in the back;stabbed in the back;stabbed in the back;VIOLENCE;3
stabbed in the chest;stabbed in the chest;stabbed in the chest;VIOLENCE;3
suffocation;suffocation;suffocation;VIOLENCE;3
switchblade;switchblade;switchblade;VIOLENCE;3
vengeance;vengeance;vengeance;VIOLENCE;3
wound;wound;wound;VIOLENCE;3
assassin;assassin;assassin;VIOLENCE;4
blackmail;blackmail;blackmail;VIOLENCE;4
bloody nose;bloody nose;bloody nose;VIOLENCE;4
bomb;bomb;bomb;VIOLENCE;4
brawl;brawl;brawl;VIOLENCE;4
bullet;bullet;bullet;VIOLENCE;4
coffin;coffin;coffin;VIOLENCE;4
eviction;eviction;eviction;VIOLENCE;4
execution;execution;execution;VIOLENCE;4
fistfight;fistfight;fistfight;VIOLENCE;4
gang war;gang war;gang war;VIOLENCE;4
gore;gore;gore;VIOLENCE;4
gunfight;gunfight;gunfight;VIOLENCE;4
gunfire;gunfire;gunfire;VIOLENCE;4
gunshot wound;gunshot wound;gunshot wound;VIOLENCE;4
handcuffs;handcuffs;handcuffs;VIOLENCE;4
hanging;hanging;hanging;VIOLENCE;4
held at gunpoint;held at gunpoint;held at gunpoint;VIOLENCE;4
henchman;henchman;henchman;VIOLENCE;4
hostage;hostage;hostage;VIOLENCE;4
machine gun;machine gun;machine gun;VIOLENCE;4
shot in the arm;shot in the arm;shot in the arm;VIOLENCE;4
shot in the forehead;shot in the forehead;shot in the forehead;VIOLENCE;4
shot in the leg;shot in the leg;shot in the leg;VIOLENCE;4
shot in the shoulder;shot in the shoulder;shot in the shoulder;VIOLENCE;4
stabbed in the hand;stabbed in the hand;stabbed in the hand;VIOLENCE;4
assassination;assassination;assassination;VIOLENCE;5
assassination attempt;assassination attempt;assassination attempt;VIOLENCE;5
pistol;pistol;pistol;VIOLENCE;5
scar;scar;scar;VIOLENCE;5
shot in the back;shot in the back;shot in the back;VIOLENCE;5
shot in the head;shot in the head;shot in the head;VIOLENCE;5
smuggling;smuggling;smuggling;VIOLENCE;5
blood splatter;blood splatter;blood splatter;VIOLENCE;6
explosion;explosion;explosion;VIOLENCE;6
gambling;gambling;gambling;VIOLENCE;6
kicking;kicking;kicking;VIOLENCE;6
punched in the face;punched in the face;punched in the face;VIOLENCE;6
strangulation;strangulation;strangulation;VIOLENCE;6
gunshot;gunshot;gunshot;VIOLENCE;7
shot in the chest;shot in the chest;shot in the chest;VIOLENCE;7
shotgun;shotgun;shotgun;VIOLENCE;7
throat slitting;throat slitting;throat slitting;VIOLENCE;7
corpse;corpse;corpse;VIOLENCE;8
rifle;rifle;rifle;VIOLENCE;8
shootout;shootout;shootout;VIOLENCE;8
stabbing;stabbing;stabbing;VIOLENCE;10
dead body;dead body;dead body;VIOLENCE;11
face slap;face slap;face slap;VIOLENCE;12
shooting;shooting;shooting;VIOLENCE;14
beating;beating;beating;VIOLENCE;15
gun;gun;gun;VIOLENCE;15
knife;knife;knife;VIOLENCE;16
violence;violence;violence;VIOLENCE;18
blood;blood;blood;VIOLENCE;22
fight;fight;fight;VIOLENCE;24
murder;murder;murder;VIOLENCE;27
