id;1;2;3;4;5;source;target;weight;Alexa;Circulation
9.8;8726;Wall Street Journal;privacy;79;97;CNN;world;1;344;2378827
9.9;8805;Wall Street Journal;membership;76;98;CNN;world;1;344;2378827
9.10;8881;Wall Street Journal;startup;145;99;CNN;world;1;344;2378827
9.11;9026;Wall Street Journal;car;68;100;CNN;world;1;344;2378827
14.1;9094;NBC;business;175;101;CNN;world;1;485;
14.4;9269;NBC;data;86;102;CNN;world;1;485;
14.5;9355;NBC;market;83;103;CNN;world;1;485;
14.6;9438;NBC;world;79;104;CNN;world;1;485;
14.7;9517;NBC;uber;78;105;CNN;world;1;485;
14.8;9595;NBC;tech;73;106;CNN;world;1;485;
14.9;9668;NBC;health;68;107;CNN;world;1;485;
14.10;9736;NBC;car;67;108;CNN;world;1;485;
14.11;9803;NBC;money;64;109;CNN;world;1;485;
14.12;9867;NBC;airbnb;58;110;CNN;world;1;485;
13.1;9925;Latimes;uber;267;111;CNN;world;1;624;653868
13.4;10192;Latimes;driver;99;112;CNN;world;1;624;653868
13.5;10291;Latimes;people;95;113;CNN;world;1;624;653868
13.6;10386;Latimes;lyft;89;114;CNN;world;1;624;653868
13.7;10475;Latimes;company;168;115;CNN;world;1;624;653868
13.8;10643;Latimes;business;75;116;CNN;world;1;624;653868
13.9;10718;Latimes;worker;75;117;CNN;world;1;624;653868
13.10;10793;Latimes;car;73;118;CNN;world;1;624;653868
13.11;10866;Latimes;demand;64;119;CNN;world;1;624;653868
13.12;10930;Latimes;work;61;120;CNN;world;1;624;653868
6.1;10991;Sidney Morning;business;391;121;CNN;world;1;1112;132000
6.2;11382;Sidney Morning;job;159;122;CNN;company;1;1112;132000
6.3;11541;Sidney Morning;money;150;123;CNN;company;1;1112;132000
6.5;11691;Sidney Morning;people;143;124;CNN;company;1;1112;132000
6.6;11834;Sidney Morning;car;244;125;CNN;company;1;1112;132000
6.8;12078;Sidney Morning;uber;111;126;CNN;company;1;1112;132000
6.9;12189;Sidney Morning;digital;107;127;CNN;company;1;1112;132000
6.10;12296;Sidney Morning;loans;98;128;CNN;company;1;1112;132000
6.11;12394;Sidney Morning;drive;97;129;CNN;company;1;1112;132000
6.12;12491;Sidney Morning;work;96;130;CNN;company;1;1112;132000
3.1;12587;The Dawn;uber;43;131;CNN;company;1;1864;109000
3.2;12630;The Dawn;attack;22;132;CNN;company;1;1864;109000
3.3;12652;The Dawn;people;22;133;CNN;company;1;1864;109000
3.4;12674;The Dawn;work;21;134;CNN;company;1;1864;109000
3.5;12695;The Dawn;taxi;21;135;CNN;company;1;1864;109000
3.6;12716;The Dawn;independent;21;136;CNN;company;1;1864;109000
3.7;12737;The Dawn;business;20;137;CNN;company;1;1864;109000
